type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,11.350,17.450,0.785,8.736,1.300,0.350,-141.474365234375,-27.555,-42.449,-70.004
exploit,12.550,18.400,1.433,7.203,0.350,1.300,-199.3907470703125,-25.202,-39.004,-64.206
exploit,12.450,18.400,1.432,7.163,0.350,1.300,-212.20913696289062,-25.957,-46.458,-72.415
exploit,12.550,18.400,1.427,7.153,0.350,1.300,-183.45553588867188,-1016.54,-1016.54,-2033.08
exploit,12.800,18.400,1.400,7.247,0.350,1.300,-148.21188354492188,-26.574,-37.068,-63.642
exploit,10.900,17.450,0.757,8.807,1.300,0.350,-163.5194091796875,-24.907,-41.809,-66.716
exploit,10.200,18.300,1.526,10.021,0.474,1.200,-288.126220703125,-27.627,-45.129,-72.756
exploit,10.950,17.450,0.632,8.835,1.300,0.350,-249.034912109375,-26.438,-40.239,-66.677
exploit,10.700,17.450,0.851,8.967,1.300,0.350,-176.5491943359375,-25.48,-40.382,-65.862
exploit,11.650,17.450,0.796,8.539,1.300,0.350,-108.388427734375,-26.149,-38.945,-65.094
exploit,11.000,17.450,0.600,8.896,1.300,0.350,-254.53765869140625,-25.912,-41.602,-67.514
exploit,9.900,17.450,1.395,9.868,1.376,0.350,-226.5423583984375,-1018.53,-1018.53,-2037.06
exploit,10.550,17.450,0.993,9.059,1.300,0.350,-167.33908081054688,-25.751,-40.87,-66.621
exploit,10.900,17.450,0.397,8.834,1.300,0.350,-362.664306640625,-27.206,-40.708,-67.914
exploit,10.650,17.450,0.686,9.112,1.300,0.350,-270.2652587890625,-25.718,-42.818,-68.536
exploit,10.650,17.450,0.859,9.004,1.300,0.350,-137.940673828125,-26.655,-42.553,-69.208
exploit,10.700,17.450,0.768,9.113,1.300,0.350,-211.68768310546875,-25.745,-42.845,-68.59
exploit,11.050,17.450,0.609,8.722,1.300,0.350,-191.478515625,-25.312,-41.11,-66.422
exploit,10.600,17.450,0.693,9.199,1.300,0.350,-245.6441650390625,-26.41,-40.789,-67.199
exploit,10.900,17.450,0.561,8.855,1.300,0.350,-193.49090576171875,-25.994,-39.986,-65.98
exploit,10.950,17.450,0.591,8.825,1.300,0.350,-170.25909423828125,-25.325,-41.918,-67.243
explore,12.600,17.450,1.316,7.337,1.300,0.350,-1212.6162109375,-27.461,-36.659,-64.12
exploit,10.600,17.450,0.769,8.963,1.300,0.350,-79.4754638671875,-26.403,-41.202,-67.605
exploit,10.800,17.450,0.788,9.117,1.300,0.350,-161.5760498046875,-25.767,-42.761,-68.528
exploit,10.850,17.450,0.538,8.919,1.300,0.350,-176.48358154296875,-25.864,-40.564,-66.428
exploit,10.650,17.450,0.989,9.000,1.300,0.350,-65.842529296875,-26.207,-41.707,-67.914
exploit,10.950,17.450,0.716,8.988,1.300,0.350,-94.8878173828125,-25.93,-42.728,-68.658
exploit,10.600,17.450,0.809,9.113,1.300,0.350,-146.36431884765625,-24.995,-42.694,-67.689
exploit,10.800,17.450,0.774,8.930,1.300,0.350,-54.5650634765625,-25.661,-39.785,-65.446
exploit,10.900,17.450,0.795,8.778,1.300,0.350,-16.6177978515625,-25.581,-39.88,-65.461
exploit,11.100,17.450,0.533,8.666,1.300,0.350,-252.43157958984375,-25.922,-39.818,-65.74
exploit,10.650,17.450,0.781,9.179,1.300,0.350,-182.7701416015625,-25.784,-42.884,-68.668
exploit,11.050,17.450,0.719,8.933,1.300,0.350,-72.19268798828125,-26.788,-41.09,-67.878
exploit,10.600,17.450,0.829,9.058,1.300,0.350,-97.7557373046875,-25.341,-44.741,-70.082
exploit,10.800,17.450,0.601,9.075,1.300,0.350,-138.4937744140625,-27.243,-41.443,-68.686
exploit,10.900,17.450,0.599,8.974,1.300,0.350,-123.44683837890625,-26.37,-40.362,-66.732
exploit,10.350,17.450,0.760,9.253,1.300,0.350,-212.90771484375,-1020.01,-1020.01,-2040.02
exploit,10.450,17.450,0.823,9.340,1.300,0.350,-290.88824462890625,-1017.81,-1017.81,-2035.61
explore,11.350,17.700,0.125,8.398,1.050,0.600,-653.0038452148438,-1013.79,-1013.79,-2027.58
exploit,11.000,17.450,0.833,8.816,1.300,0.350,51.365478515625,-26.442,-41.036,-67.478
exploit,13.050,18.400,1.927,6.699,0.350,1.300,-320.46295166015625,-26.105,-36.505,-62.61
exploit,10.750,17.450,0.524,9.051,1.300,0.350,-261.220458984375,-25.965,-40.463,-66.428
exploit,10.600,17.450,0.617,9.090,1.300,0.350,-299.434326171875,-28.663,-43.565,-72.228
exploit,12.600,18.400,1.618,7.164,0.350,1.300,-334.4945068359375,-25.703,-37.204,-62.907
exploit,11.100,17.450,0.726,8.537,1.300,0.350,-111.31890869140625,-26.721,-40.424,-67.145
exploit,13.550,18.400,1.945,6.320,0.350,1.300,-59.36968994140625,-29.745,-40.233,-69.978
exploit,11.150,17.450,0.555,9.042,1.300,0.350,-219.41436767578125,-27.207,-43.708,-70.915
exploit,10.800,17.450,0.664,8.792,1.300,0.350,-39.568115234375,-26.205,-41.504,-67.709
exploit,10.950,17.450,0.482,8.749,1.300,0.350,-211.77130126953125,-25.472,-39.97,-65.442
exploit,10.550,17.450,0.764,8.800,1.300,0.350,23.88385009765625,-26.585,-41.286,-67.871
exploit,10.850,17.450,0.697,8.866,1.300,0.350,-34.42364501953125,-27.503,-40.404,-67.907
exploit,10.550,17.450,0.886,8.811,1.300,0.350,60.92645263671875,-25.457,-40.362,-65.819
exploit,11.000,17.450,0.412,8.818,1.300,0.350,-224.69586181640625,-25.717,-40.015,-65.732
exploit,11.400,17.450,0.631,8.760,1.300,0.350,-69.2491455078125,-27.628,-41.428,-69.056
exploit,10.750,17.450,0.739,8.975,1.300,0.350,-122.625244140625,-25.316,-42.916,-68.232
exploit,10.950,17.450,0.644,8.814,1.300,0.350,-52.0333251953125,-25.313,-42.514,-67.827
exploit,10.900,17.500,0.821,8.762,1.250,0.400,-52.37884521484375,-25.911,-40.512,-66.423
exploit,11.100,17.450,0.404,8.744,1.300,0.350,-263.45318603515625,-26.223,-39.935,-66.158
exploit,11.000,17.450,0.607,8.982,1.300,0.350,-142.24993896484375,-26.234,-42.932,-69.166
exploit,13.300,18.400,2.012,6.596,0.350,1.300,-203.01776123046875,-137.802,-45.302,-183.104
exploit,10.750,17.450,0.728,9.080,1.300,0.350,-261.755126953125,-26.167,-41.969,-68.136
