type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
explore,13.785,17.700,0.677,7.970,1.050,0.500,-1503.854248046875,-1012.7,-1012.7,-2025.39
exploit,12.585,18.350,-0.806,8.988,0.400,1.150,-84.61785888671875,-27.775,-40.584,-68.359
exploit,14.285,18.350,1.282,7.381,0.400,1.150,-59.76255798339844,-25.18,-37.896,-63.076
exploit,14.485,18.350,1.266,7.363,0.400,1.150,-64.8590087890625,-25.328,-38.724,-64.052
exploit,16.285,18.350,3.138,5.476,0.400,1.150,-51.72649383544922,-26.511,-33.611,-60.122
exploit,16.185,18.350,3.041,5.574,0.400,1.150,-44.88667297363281,-28.717,-33.905,-62.622
explore,13.285,18.200,0.247,8.475,0.550,1.000,-964.0292358398438,-1014.61,-1014.61,-2029.21
explore,20.335,18.050,7.062,1.417,0.700,0.850,-434.751708984375,-1014.73,-1014.73,-2029.45
explore,17.685,18.000,4.408,3.985,0.875,0.800,-1124.438720703125,-1009.82,-1009.82,-2019.63
exploit,16.185,18.350,2.972,5.565,0.400,1.150,-59.09751892089844,-26.55,-34.549,-61.099
explore,21.035,18.250,7.955,0.694,0.500,1.050,-308.2989501953125,-1011.82,-1011.82,-2023.64
explore,14.385,17.700,1.192,7.412,1.050,0.500,-1077.3974609375,-1012.95,-1012.95,-2025.91
explore,11.685,18.350,-1.433,9.756,0.400,1.150,-1008.5991821289062,-25.01,-45.812,-70.822
explore,17.385,17.650,4.009,4.432,1.154,0.450,-312.626220703125,-28.095,-30.695,-58.79
explore,14.285,17.900,1.227,7.307,0.850,0.700,-1262.57421875,-1016.33,-1016.33,-2032.67
exploit,16.085,18.350,3.049,5.514,0.400,1.150,-45.10711669921875,-28.033,-34.836,-62.869
explore,17.685,18.550,4.410,4.170,0.472,0.650,-1365.5965576171875,-1008.43,-1008.43,-2016.86
exploit,11.035,18.350,-2.285,10.843,0.400,1.150,-86.38662719726562,-26.94,-45.544,-72.484
exploit,10.935,18.350,-2.404,10.958,0.400,1.150,-66.98269653320312,-28.271,-49.473,-77.744
explore,15.385,18.250,2.104,6.373,0.500,1.050,-791.5007934570312,-1012.83,-1012.83,-2025.66
