type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,12.780,18.100,0.549,8.933,0.650,0.900,-63.77146911621094,-20.372,-31.768,-52.14
exploit,12.927,18.178,0.470,8.907,0.572,0.978,-61.18184280395508,-20.244,-32.543,-52.787
exploit,12.816,18.122,0.450,8.948,0.629,0.922,-59.106101989746094,-20.354,-32.451,-52.805
exploit,12.826,18.180,0.533,9.035,0.570,0.980,-56.61373519897461,-20.355,-32.155,-52.51
exploit,12.707,18.141,0.666,9.033,0.609,0.941,-62.21279525756836,-23.186,-36.187,-59.373
exploit,12.866,18.145,0.494,8.979,0.605,0.945,-57.376121520996094,-20.573,-33.374,-53.947
exploit,12.830,18.133,0.496,8.919,0.617,0.933,-60.508541107177734,-20.523,-32.325,-52.848
exploit,12.836,18.166,0.528,8.921,0.584,0.966,-60.53814697265625,-21.666,-33.067,-54.733
exploit,12.740,18.055,0.576,8.996,0.695,0.855,-61.153656005859375,-24.808,-38.215,-63.023
exploit,12.807,18.069,0.509,9.071,0.682,0.869,-55.565589904785156,-20.301,-32.6,-52.901
exploit,12.759,18.199,0.621,8.979,0.551,0.999,-60.86453628540039,-20.114,-32.017,-52.131
exploit,12.827,18.191,0.558,8.878,0.559,0.991,-62.5692024230957,-20.536,-32.637,-53.173
exploit,12.766,18.123,0.537,8.967,0.628,0.923,-58.707130432128906,-20.243,-31.944,-52.187
exploit,12.771,18.272,0.645,8.983,0.479,1.072,-61.892581939697266,-19.584,-32.485,-52.069
exploit,12.855,18.149,0.498,8.902,0.601,0.950,-59.5228157043457,-20.061,-32.238,-52.299
exploit,12.881,18.213,0.585,8.952,0.537,1.013,-58.90666961669922,-22.798,-35.5,-58.298
exploit,12.856,18.192,0.506,8.956,0.558,0.992,-56.0981559753418,-20.631,-33.133,-53.764
exploit,12.853,18.244,0.561,8.914,0.507,1.044,-59.51123046875,-22.45,-35.152,-57.602
exploit,12.739,18.103,0.662,8.967,0.647,0.903,-61.149330139160156,-21.13,-33.23,-54.36
exploit,12.867,18.261,0.539,8.905,0.489,1.061,-59.19581604003906,-20.101,-32.302,-52.403
exploit,12.706,18.033,0.734,8.932,0.717,0.834,-63.27761459350586,-27.923,-39.418,-67.341
exploit,12.751,18.097,0.583,8.982,0.653,0.897,-58.84680938720703,-23.097,-35.3,-58.397
exploit,12.921,18.200,0.485,8.947,0.551,1.000,-55.286895751953125,-19.884,-33.285,-53.169
explore,13.192,17.891,0.264,8.412,0.859,0.691,-89.57624816894531,-21.821,-34.303,-56.124
exploit,12.786,18.108,0.472,9.028,0.642,0.908,-53.55445861816406,-22.59,-34.891,-57.481
exploit,12.754,18.070,0.509,9.070,0.680,0.870,-55.016448974609375,-1000,-1000,-2000
exploit,12.853,18.127,0.492,9.010,0.623,0.927,-54.53844451904297,-21.265,-33.372,-54.637
exploit,12.855,18.153,0.667,8.885,0.597,0.953,-60.793235778808594,-20.669,-31.97,-52.639
exploit,12.853,18.200,0.537,8.960,0.550,1.000,-57.0818977355957,-1000,-1000,-2000
exploit,12.864,18.214,0.534,8.875,0.536,1.014,-58.997314453125,-25.011,-37.511,-62.522
exploit,12.717,18.152,0.756,8.881,0.598,0.952,-60.59010314941406,-20.381,-33.569,-53.95
exploit,12.780,18.175,0.545,8.921,0.575,0.975,-59.4783821105957,-20.237,-32.936,-53.173
exploit,12.816,18.206,0.557,8.934,0.544,1.006,-59.01694107055664,-1000,-1000,-2000
exploit,12.805,18.173,0.559,8.987,0.578,0.973,-58.28031921386719,-20.672,-32.972,-53.644
exploit,12.914,18.084,0.452,8.815,0.666,0.884,-64.22266387939453,-24.984,-36.794,-61.778
exploit,12.762,18.142,0.591,9.014,0.609,0.942,-59.76457595825195,-1000,-1000,-2000
exploit,12.985,18.185,0.552,8.761,0.565,0.985,-64.04493713378906,-20.253,-31.453,-51.706
exploit,11.092,18.149,0.598,8.972,0.601,0.949,-61.08049011230469,-100,-100,-200
explore,15.226,18.123,1.929,6.524,0.627,0.923,-85.6840591430664,-100,-34.286,-134.286
exploit,12.976,18.191,0.432,8.862,0.559,0.991,-60.101463317871094,-20.378,-32.877,-53.255
exploit,13.030,18.152,0.362,8.810,0.598,0.952,-61.443729400634766,-21.281,-33.881,-55.162
explore,13.506,18.378,0.484,8.212,0.372,1.179,-75.44427490234375,-20.071,-30.771,-50.842
exploit,12.928,18.208,0.584,8.834,0.542,1.008,-62.49119567871094,-22.158,-36.86,-59.018
explore,15.247,18.692,1.950,6.370,0.059,0.293,-78.93403625488281,-100,-39.944,-139.944
exploit,13.506,18.256,0.340,8.131,0.494,1.056,-61.18342590332031,-1000,-1000,-2000
exploit,12.996,18.236,0.416,8.816,0.514,1.036,-59.16415023803711,-20.042,-32.643,-52.685
exploit,12.778,18.249,0.633,8.971,0.501,1.049,-62.68336486816406,-24.752,-37.352,-62.104
exploit,12.894,18.215,0.520,8.831,0.535,1.015,-61.255924224853516,-20.296,-32.698,-52.994
exploit,12.868,18.187,0.510,8.896,0.564,0.987,-60.00605773925781,-22.235,-35.332,-57.567
exploit,12.935,18.203,0.415,8.833,0.547,1.003,-59.10616683959961,-1000,-1000,-2000
exploit,12.700,18.116,0.782,8.898,0.634,0.916,-61.74633026123047,-22.28,-34.979,-57.259
exploit,12.872,18.169,0.496,8.936,0.581,0.969,-60.0126953125,-1000,-1000,-2000
exploit,12.834,18.124,0.492,8.904,0.626,0.924,-61.42384338378906,-22.941,-35.543,-58.484
exploit,12.869,18.245,0.535,8.935,0.505,1.045,-61.119388580322266,-1000,-1000,-2000
exploit,12.893,18.155,0.500,8.848,0.595,0.955,-62.58585739135742,-24.906,-37.41,-62.316
exploit,12.881,18.075,0.444,8.978,0.675,0.875,-61.32050323486328,-1000,-1000,-2000
exploit,12.943,18.127,0.442,8.909,0.623,0.927,-61.68124008178711,-20.136,-33.937,-54.073
exploit,12.755,18.199,0.591,9.034,0.551,0.999,-62.653587341308594,-20.039,-32.439,-52.478
exploit,12.927,18.220,0.491,8.925,0.530,1.020,-61.642208099365234,-23.287,-35.785,-59.072
exploit,12.704,18.142,0.581,9.004,0.609,0.942,-62.62668228149414,-20.243,-32.142,-52.385
exploit,12.753,18.234,0.538,8.982,0.517,1.034,-61.391666412353516,-1000,-1000,-2000
exploit,12.661,18.080,0.792,8.926,0.671,0.880,-60.712745666503906,-22.648,-36.75,-59.398
exploit,12.783,18.138,0.582,8.952,0.612,0.938,-62.76799774169922,-1000,-1000,-2000
exploit,12.752,18.171,0.554,8.983,0.579,0.971,-62.48752212524414,-20.142,-32.242,-52.384
exploit,12.842,18.184,0.510,8.915,0.566,0.984,-62.98447036743164,-20.435,-32.237,-52.672
exploit,12.850,18.093,0.405,8.974,0.657,0.893,-62.23115158081055,-20.005,-32.006,-52.011
exploit,12.906,18.231,0.482,8.951,0.519,1.032,-61.64588928222656,-20.76,-33.269,-54.029
explore,11.925,17.226,1.613,9.828,0.094,0.028,-75.45382690429688,-100,-39.061,-139.061
exploit,12.955,18.224,0.444,8.845,0.526,1.024,-62.74213790893555,-19.998,-31.804,-51.802
exploit,12.715,18.156,0.624,9.044,0.594,0.956,-63.796268463134766,-20.986,-32.185,-53.171
exploit,12.881,18.186,0.488,8.960,0.564,0.986,-61.30455017089844,-1000,-1000,-2000
exploit,13.015,18.158,0.334,8.816,0.592,0.959,-62.797489166259766,-19.885,-30.792,-50.677
explore,14.027,17.950,0.759,7.788,0.800,0.750,-83.61963653564453,-100,-30.706,-130.706
exploit,12.878,18.110,0.605,8.748,0.640,0.910,-63.00177001953125,-22.396,-33.896,-56.292
exploit,12.929,18.181,0.388,8.891,0.569,0.981,-61.06791687011719,-1000,-1000,-2000
exploit,10.701,18.164,0.562,8.962,0.586,0.964,-62.82493591308594,-100,-100,-200
exploit,12.869,18.207,0.523,8.983,0.543,1.007,-62.750118255615234,-20.013,-32.501,-52.514
exploit,12.925,18.143,0.379,8.869,0.607,0.943,-63.78865051269531,-22.356,-34.857,-57.213
exploit,12.851,18.195,0.459,8.881,0.556,0.995,-63.378143310546875,-20.324,-32.631,-52.955
exploit,12.728,18.165,0.744,8.881,0.585,0.966,-61.10877227783203,-22.644,-35.241,-57.885
explore,11.974,18.282,1.532,9.608,0.468,1.082,-79.06819152832031,-23.966,-36.968,-60.934
exploit,12.936,18.129,0.420,8.883,0.621,0.929,-63.600616455078125,-1000,-1000,-2000
exploit,12.924,18.196,0.435,8.876,0.554,0.996,-62.88591766357422,-19.843,-32.144,-51.987
exploit,12.857,18.224,0.511,8.990,0.527,1.024,-62.78929138183594,-100,-49.3,-149.3
exploit,12.855,18.178,0.521,8.894,0.572,0.978,-63.54313659667969,-20.04,-31.739,-51.779
exploit,12.917,18.203,0.478,8.869,0.547,1.003,-64.05149841308594,-20.134,-32.536,-52.67
exploit,12.883,18.131,0.532,8.917,0.619,0.931,-63.91838073730469,-22.674,-35.765,-58.439
exploit,12.669,18.126,0.685,9.115,0.624,0.926,-66.75537109375,-22.681,-35.884,-58.565
exploit,13.024,18.204,0.394,8.865,0.546,1.004,-63.12721252441406,-21.058,-33.046,-54.104
exploit,12.837,18.171,0.532,8.903,0.579,0.971,-63.45667266845703,-20.344,-31.844,-52.188
exploit,12.921,18.217,0.467,8.840,0.533,1.017,-63.69398498535156,-1000,-1000,-2000
exploit,12.823,18.236,0.573,8.910,0.514,1.036,-63.734642028808594,-19.85,-31.453,-51.303
exploit,12.825,18.231,0.716,8.899,0.519,1.032,-63.16459655761719,-24.237,-37.638,-61.875
exploit,12.760,18.156,0.709,8.877,0.595,0.956,-60.50956726074219,-22.319,-35.828,-58.147
exploit,12.825,18.179,0.519,8.916,0.571,0.979,-63.526123046875,-19.852,-32.349,-52.201
explore,11.816,18.088,1.506,9.927,0.662,0.888,-82.90931701660156,-1000,-1000,-2000
explore,14.432,18.352,1.161,7.319,0.398,1.152,-87.74711608886719,-22.498,-30.897,-53.395
exploit,12.852,18.103,0.479,8.909,0.647,0.903,-64.32323455810547,-20.812,-32.818,-53.63
exploit,12.923,18.088,0.408,8.914,0.662,0.888,-64.71739196777344,-1000,-1000,-2000
exploit,12.660,18.047,0.824,8.912,0.703,0.847,-57.98683166503906,-1000,-1000,-2000
exploit,12.859,18.241,0.534,8.863,0.510,1.041,-63.850616455078125,-21.973,-34.872,-56.845
exploit,12.972,18.246,0.421,8.871,0.504,1.046,-62.83473205566406,-1000,-1000,-2000
exploit,12.865,18.241,0.543,8.912,0.509,1.041,-63.293853759765625,-19.968,-32.466,-52.434
exploit,12.974,18.291,0.509,8.854,0.459,1.091,-65.05987548828125,-19.884,-32.491,-52.375
exploit,12.845,18.231,0.543,9.037,0.519,1.031,-63.06420135498047,-22.836,-35.135,-57.971
exploit,12.789,18.236,0.751,8.892,0.514,1.036,-62.42107391357422,-19.99,-32.188,-52.178
exploit,12.792,18.167,0.591,8.954,0.583,0.967,-63.57295227050781,-20.061,-32.163,-52.224
exploit,12.858,18.234,0.491,8.917,0.517,1.034,-63.06999969482422,-22.346,-35.542,-57.888
exploit,12.854,18.286,0.572,8.962,0.464,1.087,-63.326499938964844,-20.247,-33.946,-54.193
explore,12.904,17.340,0.686,8.881,1.090,0.142,-87.78048706054688,-100,-40.562,-140.562
exploit,12.668,18.285,0.635,9.118,0.465,1.085,-63.960845947265625,-20.112,-32.008,-52.12
exploit,12.953,18.266,0.506,8.922,0.484,1.066,-62.56651306152344,-20.562,-33.156,-53.718
exploit,12.768,18.192,0.607,9.068,0.558,0.993,-62.86976623535156,-20.605,-34.601,-55.206
explore,12.603,18.495,0.904,9.242,0.255,1.295,-76.16446685791016,-100,-40.137,-140.137
