type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
explore,11.988,17.417,1.338,9.730,0.217,1.333,-87.86137390136719,-24.6,-100,-124.6
explore,11.625,18.201,1.543,10.091,0.549,1.001,-95.54615783691406,-1000,-1000,-2000
explore,13.013,17.870,0.262,8.752,0.670,0.880,-81.94640350341797,-1000,-1000,-2000
explore,9.157,18.003,3.996,12.508,0.748,0.803,-71.27710723876953,-14.401,-45.803,-60.204
explore,12.446,17.381,1.016,9.355,0.181,1.369,-84.43628692626953,-100,-40.792,-140.792
explore,16.501,18.277,3.242,5.340,0.473,1.077,-80.10356903076172,-100,-24.6,-124.6
explore,15.141,18.546,2.039,6.595,0.204,1.346,-82.21308135986328,-100,-36.3,-136.3
explore,10.230,18.451,3.080,11.541,0.336,0.961,-90.91190338134766,-14.716,-54.217,-68.933
explore,16.272,17.216,3.238,5.479,0.021,0.041,-51.58818435668945,-100,-100,-200
explore,15.314,17.247,2.316,6.378,0.052,0.137,-66.09898376464844,-48.729,-100,-148.729
explore,11.926,17.456,1.417,9.728,0.256,1.294,-92.2950668334961,-14.402,-32.901,-47.303
explore,14.696,17.595,1.605,7.042,0.395,1.155,-88.90715789794922,-1000,-1000,-2000
explore,11.335,18.418,1.872,10.342,0.332,1.218,-93.35328674316406,-14.3,-35.403,-49.703
explore,11.739,17.752,1.599,9.868,0.552,0.998,-91.95466613769531,-1000,-1000,-2000
explore,12.185,17.768,1.071,9.601,0.568,0.982,-90.53508758544922,-1000,-1000,-2000
explore,11.586,18.277,1.738,10.187,0.473,1.077,-93.34654998779297,-14.6,-35.701,-50.301
explore,16.515,17.778,3.325,5.279,0.579,0.972,-87.85499572753906,-1000,-1000,-2000
explore,13.296,17.507,0.554,8.441,0.307,1.243,-92.39148712158203,-1000,-1000,-2000
explore,10.792,17.547,2.396,10.948,0.347,1.203,-85.12202453613281,-15.916,-36.914,-52.83
explore,13.046,18.585,0.555,8.709,0.165,1.385,-86.95317840576172,-48.5,-100,-148.5
explore,9.495,17.898,3.704,12.252,0.698,0.878,-85.94823455810547,-14.5,-47.103,-61.603
explore,11.107,17.790,2.086,10.533,0.591,0.960,-81.77410888671875,-1000,-1000,-2000
explore,15.020,18.415,1.845,6.708,0.335,1.215,-90.13290405273438,-20.6,-28.3,-48.9
explore,9.901,18.482,3.377,11.731,0.538,0.650,-90.98794555664062,-48.702,-100,-148.702
explore,15.144,18.012,1.948,6.525,0.738,0.812,-84.1346206665039,-100,-24.825,-124.825
explore,15.714,17.226,2.596,6.168,0.033,0.083,-78.6454849243164,-1000,-1000,-2000
explore,11.903,18.332,1.358,9.861,0.419,1.132,-91.86529541015625,-14.5,-35.002,-49.502
explore,16.023,18.516,2.911,5.642,0.235,1.316,-65.3721923828125,-100,-37.418,-137.418
explore,11.204,17.560,2.011,10.552,0.361,1.190,-85.33888244628906,-14.302,-35.5,-49.802
explore,16.158,18.524,2.979,5.555,0.227,1.324,-69.22283172607422,-1000,-1000,-2000
explore,10.784,17.359,2.563,11.076,0.159,1.391,-77.03131103515625,-100,-39.16,-139.16
