type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,13.550,18.276,4.000,4.302,0.474,1.076,-67.08110046386719,-124.924,-36.505,-161.429
exploit,2.723,14.018,4.835,11.819,0.740,0.113,-31.745437622070312,-138.007,-48.807,-186.814
exploit,7.690,17.773,0.779,7.684,0.977,1.217,-66.37480163574219,-1015.54,-1015.54,-2031.09
exploit,1.686,14.008,5.574,13.090,1.600,1.149,-51.03900909423828,-28.084,-63.681,-91.765
explore,12.958,18.135,3.887,4.444,0.615,0.936,-86.74568939208984,-125.928,-158.134,-284.062
exploit,10.238,18.909,2.345,10.564,0.903,0.097,-68.12896728515625,-146.6,-59.8,-206.4
exploit,7.836,18.699,1.187,9.224,0.051,1.791,-57.97328186035156,-141.97,-200,-341.97
explore,12.768,17.320,1.887,6.823,0.891,0.121,-82.57048034667969,-1017.73,-1017.73,-2035.47
exploit,2.745,14.268,5.375,12.847,0.490,0.091,-44.37153625488281,-1129.13,-1129.13,-2258.26
exploit,12.235,17.225,1.758,6.992,1.525,0.025,-70.15618896484375,-1013.83,-1013.83,-2027.66
exploit,15.027,17.316,4.024,4.655,1.434,0.116,-73.23489379882812,-1013.88,-1013.88,-2027.77
exploit,8.484,17.759,0.227,8.755,1.133,0.659,-69.90355682373047,-29.758,-43.258,-73.016
explore,11.450,17.905,2.528,5.768,0.845,0.706,-81.10845947265625,-127.203,-37.6,-164.803
explore,8.322,18.630,1.535,7.091,0.378,0.723,-92.04127502441406,-141.703,-49.501,-191.204
exploit,10.999,17.428,0.466,8.849,1.322,0.228,-66.52738952636719,-1024.45,-1024.45,-2048.9
exploit,14.126,17.317,3.346,5.371,1.433,0.117,-70.91830444335938,-1014.34,-1014.34,-2028.68
exploit,15.433,17.271,3.269,5.322,1.479,0.071,-69.10768127441406,-157.088,-183.306,-340.394
explore,12.712,17.308,0.671,8.278,0.538,0.110,-80.03461456298828,-135.74,-49.761,-185.501
exploit,2.818,14.088,5.515,13.029,0.021,0.041,-33.10320281982422,-140.381,-48.082,-188.463
explore,4.467,18.529,1.783,10.239,0.222,1.086,-86.61834716796875,-137.725,-49.326,-187.051
explore,6.697,18.266,3.185,11.710,0.484,1.072,-84.10752868652344,-1019.93,-1019.93,-2039.86
explore,4.083,17.914,1.482,9.993,0.927,0.623,-84.75741577148438,-143.021,-45.62,-188.641
explore,1.605,18.711,3.841,12.269,1.600,1.948,-66.95671081542969,-29.89,-52.689,-82.579
exploit,10.558,18.627,0.574,8.115,0.125,0.688,-68.09553527832031,-30.422,-45.923,-76.345
exploit,7.586,18.612,3.287,11.751,0.138,1.731,-74.05034637451172,-150.059,-200,-350.059
exploit,6.282,17.173,3.854,12.372,0.060,0.023,-73.03782653808594,-140.903,-52.501,-193.404
exploit,12.332,18.687,3.661,5.059,0.063,1.449,-71.82291412353516,-136.024,-51.421,-187.445
exploit,7.777,17.578,2.320,6.223,1.172,1.049,-54.184165954589844,-1014.67,-1014.67,-2029.34
exploit,10.832,17.664,0.213,8.710,1.086,0.464,-73.23174285888672,-30.624,-43.442,-74.066
explore,10.262,18.799,1.489,9.466,0.927,0.073,-70.60379028320312,-137.97,-51.269,-189.239
explore,12.008,17.645,0.415,8.311,1.106,0.445,-94.91712188720703,-1015.15,-1015.15,-2030.3
exploit,12.387,17.237,2.807,5.826,0.649,0.037,-75.36175537109375,-1014.08,-1014.08,-2028.16
explore,3.488,17.844,3.216,11.662,1.347,0.644,-81.16744995117188,-32.515,-55.836,-88.351
explore,13.942,17.878,1.350,7.035,0.872,0.678,-81.66127014160156,-130.102,-37.918,-168.02
exploit,2.878,18.913,2.618,10.887,1.600,2.171,-36.030635833740234,-27.539,-47.453,-74.992
exploit,8.705,17.154,1.682,9.918,1.772,0.030,-69.74580383300781,-133.566,-51.27,-184.836
exploit,10.671,17.217,2.152,10.476,0.040,0.022,-75.47391510009766,-138.354,-48.556,-186.91
exploit,2.788,18.755,3.139,11.604,1.600,1.555,-55.409828186035156,-28.415,-49.81,-78.225
exploit,8.663,17.136,1.081,8.036,0.073,1.770,-64.5459976196289,-132.913,-50.112,-183.025
exploit,17.027,17.272,4.053,4.529,0.696,0.073,-66.56578826904297,-163.846,-200,-363.846
explore,5.792,18.501,0.865,9.041,0.249,1.409,-93.44010925292969,-157.494,-142.501,-299.995
explore,8.155,18.772,1.279,9.679,0.172,0.881,-79.93890380859375,-1016.88,-1016.88,-2033.76
exploit,9.393,18.783,2.816,11.067,0.060,0.942,-70.7403564453125,-1024.06,-1024.06,-2048.12
exploit,10.343,17.212,0.938,9.083,0.043,0.014,-72.57826232910156,-131.482,-47.778,-179.26
exploit,6.806,17.132,1.702,9.648,0.172,1.628,-71.13465118408203,-145.035,-50.737,-195.772
explore,10.341,17.318,1.092,9.332,1.432,0.119,-84.95291137695312,-143.768,-51.768,-195.536
exploit,7.716,17.613,0.538,9.067,1.137,1.119,-70.543701171875,-1020.17,-1020.17,-2040.34
exploit,13.447,17.242,0.759,7.590,0.193,0.043,-58.392723083496094,-1011.6,-1011.6,-2023.19
exploit,13.290,17.753,4.004,4.175,0.997,0.553,-61.24723815917969,-1013.47,-1013.47,-2026.95
exploit,7.724,17.056,1.555,7.389,1.089,1.011,-61.560951232910156,-156.33,-136.232,-292.562
exploit,2.672,14.433,4.546,11.701,0.164,1.591,-45.706153869628906,-137.136,-49.133,-186.269
exploit,8.929,18.812,3.194,11.676,0.944,0.107,-75.4471664428711,-1013.2,-1013.2,-2026.41
explore,8.698,18.101,2.772,5.819,0.731,0.912,-87.48274993896484,-136.26,-200,-336.26
exploit,8.343,17.103,2.404,10.714,1.697,0.392,-74.25599670410156,-35.844,-51.94,-87.784
exploit,10.404,18.647,0.571,8.363,0.105,0.590,-74.66389465332031,-1012.93,-1012.93,-2025.85
exploit,2.986,17.515,3.996,12.533,1.942,0.315,-55.080528259277344,-28.861,-52.76,-81.621
