type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
explore,10.431,18.227,2.765,11.224,0.523,1.027,-61.842803955078125,-16.8,-50.322,-67.122
exploit,15.180,18.342,1.985,6.557,0.408,1.142,-53.79153823852539,-21.002,-28.004,-49.006
exploit,15.319,18.333,2.133,6.465,0.417,1.133,-51.43345642089844,-18.605,-24.21,-42.815
explore,13.161,17.706,0.343,8.587,1.044,0.507,-80.21437072753906,-1014.6,-1014.6,-2029.2
exploit,15.559,18.342,2.387,6.179,0.409,1.142,-51.45439147949219,-139.1,-21.402,-160.502
exploit,15.228,18.333,1.903,6.357,0.418,1.133,-48.20428466796875,-21.907,-28.807,-50.714
exploit,10.961,18.328,2.304,10.859,0.423,1.128,-51.5098876953125,-14.606,-36.912,-51.518
exploit,10.729,18.340,2.590,10.877,0.410,1.140,-48.981201171875,-14.302,-36.912,-51.214
explore,15.865,17.613,2.617,5.883,1.137,0.413,-68.8133544921875,-139.702,-22.601,-162.303
exploit,12.513,18.305,0.728,9.203,0.445,1.106,-58.16809844970703,-200,-200,-400
exploit,11.093,18.295,2.123,10.635,0.455,1.095,-55.44630432128906,-1020.41,-1020.41,-2040.82
exploit,10.984,18.325,2.223,10.719,0.425,1.125,-52.2548828125,-14.502,-36.205,-50.707
exploit,10.428,18.292,2.735,11.291,0.458,1.092,-55.39075469970703,-14.303,-38.106,-52.409
explore,15.231,17.641,2.074,6.514,1.109,0.441,-69.06008911132812,-1012.61,-1012.61,-2025.22
exploit,10.809,18.348,2.412,10.916,0.403,1.148,-51.866668701171875,-14.401,-36.714,-51.115
exploit,9.933,17.558,3.389,11.642,1.275,0.358,-52.981300354003906,-1023.52,-1023.52,-2047.04
exploit,9.244,17.566,3.935,12.500,1.184,0.366,-54.74909210205078,-15.503,-42.019,-57.522
exploit,10.372,18.271,2.835,11.393,0.480,1.071,-57.61642074584961,-14.4,-37.604,-52.004
exploit,10.335,18.283,2.842,11.386,0.470,1.083,-56.709922790527344,-1019.5,-1019.5,-2039
exploit,12.335,17.563,0.920,9.344,1.187,0.363,-53.24222946166992,-14.501,-31.206,-45.707
exploit,10.664,18.314,2.559,11.028,0.436,1.115,-54.49531555175781,-14.511,-37.005,-51.516
exploit,10.871,18.335,2.456,10.895,0.416,1.135,-52.73337936401367,-16.001,-39.645,-55.646
